,class
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,1
8,1
9,3
10,1
11,1
12,3
13,1
14,1
15,1
16,3
17,2
18,3
19,1
20,1
21,3
22,1
23,2
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,1
35,1
36,1
37,1
38,3
39,1
40,3
41,1
42,1
43,1
44,1
45,3
46,1
47,2
48,2
49,1
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,2
72,2
73,1
74,2
75,3
76,1
77,1
78,3
79,1
80,2
81,1
82,3
83,2
84,1
85,2
86,1
87,2
88,1
89,3
90,1
91,3
92,1
93,1
94,1
95,1
96,3
97,3
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,2
109,1
110,1
111,1
112,1
113,1
114,1
115,2
116,2
117,1
118,2
119,3
120,1
121,2
122,1
123,3
124,1
125,1
126,1
127,2
128,3
129,1
130,1
131,1
132,1
133,1
134,2
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,2
144,3
145,1
146,1
147,1
148,1
149,3
150,1
151,1
152,1
153,3
154,1
155,1
156,2
157,3
158,1
159,1
160,1
161,2
162,3
163,1
164,2
165,1
166,1
167,1
168,1
169,3
170,1
171,1
172,2
173,3
174,2
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,3
185,1
186,1
187,3
188,1
189,1
190,1
191,3
192,3
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,3
202,3
203,1
204,1
205,1
206,2
207,2
208,1
209,2
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,3
218,1
219,1
220,1
221,1
222,2
223,1
224,2
225,2
226,1
227,3
228,2
229,3
230,1
231,1
232,1
233,3
234,1
235,1
236,2
237,3
238,3
239,3
240,2
241,1
242,1
243,1
244,3
245,1
246,2
247,1
248,1
249,1
250,2
251,3
252,3
253,1
254,1
255,1
256,2
257,1
258,2
259,3
260,1
261,1
262,1
263,1
264,3
265,2
266,1
267,1
268,1
269,1
270,3
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,3
280,1
281,2
282,2
283,1
284,1
285,3
286,1
287,1
288,1
289,1
290,1
291,3
292,1
293,1
294,2
295,2
296,2
297,1
298,1
299,1
300,2
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,2
313,2
314,1
315,1
316,1
317,2
318,2
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,3
327,3
328,2
329,3
330,1
331,1
332,1
333,2
334,1
335,1
336,2
337,3
338,1
339,1
340,1
341,2
342,3
343,1
344,3
345,1
346,1
347,3
348,1
349,1
350,1
351,3
352,1
353,1
354,1
355,1
356,1
357,2
358,3
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,2
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,1
380,2
381,3
382,2
383,2
384,2
385,2
386,3
387,1
388,1
389,3
390,1
391,1
392,1
393,1
394,1
395,3
396,1
397,1
398,1
399,1
400,2
401,1
402,3
403,2
404,1
405,3
406,1
407,1
408,1
409,1
410,1
411,1
412,2
413,3
414,1
415,1
416,3
417,1
418,1
419,1
420,1
421,1
422,1
423,3
424,1
425,1
426,3
427,1
428,1
429,1
430,1
431,2
432,1
433,2
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,3
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,2
453,3
454,1
455,2
456,1
457,2
458,2
459,1
460,1
461,1
462,2
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,3
474,2
475,1
476,3
477,3
478,1
479,1
480,1
481,1
482,2
483,1
484,1
485,1
486,1
487,1
488,2
489,2
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,3
501,3
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,3
510,2
511,3
512,2
513,3
514,1
515,3
516,1
517,1
518,1
519,1
520,1
521,2
522,1
523,3
524,1
525,1
526,1
527,1
528,1
529,2
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,2
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,2
554,2
555,3
556,1
557,1
558,1
559,1
560,1
561,1
562,3
563,1
564,1
565,1
566,1
567,2
568,1
569,1
570,1
571,1
572,1
573,3
574,1
575,1
576,1
577,1
578,3
579,2
580,1
581,1
582,1
583,1
584,3
585,1
586,1
587,3
588,2
589,1
590,1
591,1
592,2
593,1
594,1
595,2
596,3
597,1
598,1
599,1
600,1
601,1
602,3
603,1
604,1
605,3
606,2
607,1
608,1
609,3
610,1
611,1
612,1
613,1
614,3
615,1
616,3
617,3
618,2
619,1
620,1
621,1
622,2
623,2
624,2
625,1
626,1
627,1
628,2
629,1
630,1
631,2
632,1
633,2
634,1
635,3
636,2
637,3
638,1
639,1
640,1
641,1
642,2
643,1
644,1
645,3
646,1
647,1
648,2
649,3
650,2
651,2
652,1
653,2
654,1
655,2
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,3
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,2
673,1
674,1
675,3
676,3
677,1
678,1
679,1
680,1
681,2
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,2
690,1
691,1
692,2
693,3
694,1
695,1
696,1
697,2
698,1
699,2
700,2
701,3
702,1
703,1
704,1
705,2
706,3
707,1
708,1
709,3
710,3
711,2
712,1
713,2
714,2
715,1
716,1
717,1
718,3
719,3
720,3
721,1
722,3
723,3
724,1
725,1
726,1
727,3
728,3
729,1
730,3
731,2
732,1
733,1
734,3
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,2
743,1
744,3
745,2
746,3
747,1
748,1
749,1
750,1
751,1
752,1
753,2
754,2
755,2
756,1
757,2
758,3
759,3
760,1
761,1
762,1
763,1
764,1
765,1
766,3
767,1
768,1
769,2
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,3
779,3
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,3
788,2
789,1
790,1
791,1
792,2
793,3
794,2
795,2
796,2
797,1
798,1
799,3
800,1
801,1
802,1
803,1
804,1
805,1
806,2
807,1
808,1
809,3
810,1
811,1
812,1
