,class
0,GALAXY
1,GALAXY
2,GALAXY
3,GALAXY
4,GALAXY
5,QSO
6,QSO
7,GALAXY
8,GALAXY
9,STAR
10,GALAXY
11,GALAXY
12,STAR
13,GALAXY
14,GALAXY
15,GALAXY
16,STAR
17,QSO
18,STAR
19,GALAXY
20,GALAXY
21,STAR
22,GALAXY
23,QSO
24,GALAXY
25,GALAXY
26,GALAXY
27,GALAXY
28,GALAXY
29,GALAXY
30,GALAXY
31,GALAXY
32,GALAXY
33,QSO
34,GALAXY
35,GALAXY
36,GALAXY
37,GALAXY
38,STAR
39,GALAXY
40,STAR
41,GALAXY
42,GALAXY
43,GALAXY
44,GALAXY
45,STAR
46,GALAXY
47,QSO
48,QSO
49,GALAXY
50,GALAXY
51,QSO
52,GALAXY
53,GALAXY
54,GALAXY
55,GALAXY
56,GALAXY
57,GALAXY
58,GALAXY
59,GALAXY
60,GALAXY
61,GALAXY
62,GALAXY
63,GALAXY
64,GALAXY
65,GALAXY
66,GALAXY
67,GALAXY
68,GALAXY
69,GALAXY
70,GALAXY
71,QSO
72,QSO
73,GALAXY
74,QSO
75,STAR
76,GALAXY
77,GALAXY
78,STAR
79,GALAXY
80,QSO
81,GALAXY
82,STAR
83,QSO
84,GALAXY
85,QSO
86,GALAXY
87,QSO
88,GALAXY
89,STAR
90,GALAXY
91,STAR
92,GALAXY
93,GALAXY
94,GALAXY
95,GALAXY
96,STAR
97,STAR
98,QSO
99,GALAXY
100,GALAXY
101,GALAXY
102,GALAXY
103,GALAXY
104,GALAXY
105,GALAXY
106,GALAXY
107,QSO
108,QSO
109,GALAXY
110,GALAXY
111,GALAXY
112,GALAXY
113,GALAXY
114,GALAXY
115,QSO
116,QSO
117,GALAXY
118,QSO
119,STAR
120,GALAXY
121,QSO
122,GALAXY
123,STAR
124,GALAXY
125,GALAXY
126,GALAXY
127,QSO
128,STAR
129,GALAXY
130,GALAXY
131,GALAXY
132,GALAXY
133,GALAXY
134,QSO
135,GALAXY
136,GALAXY
137,GALAXY
138,GALAXY
139,GALAXY
140,GALAXY
141,GALAXY
142,GALAXY
143,QSO
144,STAR
145,GALAXY
146,GALAXY
147,GALAXY
148,GALAXY
149,STAR
150,GALAXY
151,GALAXY
152,GALAXY
153,STAR
154,GALAXY
155,GALAXY
156,QSO
157,STAR
158,GALAXY
159,GALAXY
160,GALAXY
161,QSO
162,STAR
163,GALAXY
164,QSO
165,GALAXY
166,GALAXY
167,GALAXY
168,GALAXY
169,STAR
170,GALAXY
171,GALAXY
172,QSO
173,STAR
174,QSO
175,QSO
176,GALAXY
177,GALAXY
178,GALAXY
179,GALAXY
180,GALAXY
181,GALAXY
182,GALAXY
183,GALAXY
184,STAR
185,GALAXY
186,GALAXY
187,STAR
188,GALAXY
189,GALAXY
190,GALAXY
191,STAR
192,STAR
193,GALAXY
194,GALAXY
195,GALAXY
196,GALAXY
197,GALAXY
198,GALAXY
199,GALAXY
200,GALAXY
201,STAR
202,STAR
203,GALAXY
204,GALAXY
205,GALAXY
206,QSO
207,QSO
208,GALAXY
209,QSO
210,GALAXY
211,GALAXY
212,GALAXY
213,GALAXY
214,GALAXY
215,GALAXY
216,GALAXY
217,STAR
218,GALAXY
219,GALAXY
220,GALAXY
221,GALAXY
222,QSO
223,GALAXY
224,QSO
225,QSO
226,GALAXY
227,STAR
228,QSO
229,STAR
230,GALAXY
231,GALAXY
232,GALAXY
233,STAR
234,GALAXY
235,GALAXY
236,QSO
237,STAR
238,STAR
239,STAR
240,QSO
241,GALAXY
242,GALAXY
243,GALAXY
244,STAR
245,GALAXY
246,QSO
247,GALAXY
248,GALAXY
249,GALAXY
250,QSO
251,STAR
252,STAR
253,GALAXY
254,GALAXY
255,GALAXY
256,QSO
257,GALAXY
258,QSO
259,STAR
260,GALAXY
261,GALAXY
262,GALAXY
263,GALAXY
264,STAR
265,QSO
266,GALAXY
267,GALAXY
268,GALAXY
269,GALAXY
270,STAR
271,GALAXY
272,GALAXY
273,GALAXY
274,GALAXY
275,GALAXY
276,GALAXY
277,GALAXY
278,GALAXY
279,STAR
280,GALAXY
281,QSO
282,QSO
283,GALAXY
284,GALAXY
285,STAR
286,GALAXY
287,GALAXY
288,GALAXY
289,GALAXY
290,GALAXY
291,STAR
292,GALAXY
293,GALAXY
294,QSO
295,QSO
296,QSO
297,GALAXY
298,GALAXY
299,GALAXY
300,QSO
301,GALAXY
302,GALAXY
303,GALAXY
304,GALAXY
305,GALAXY
306,GALAXY
307,GALAXY
308,GALAXY
309,GALAXY
310,GALAXY
311,GALAXY
312,QSO
313,QSO
314,GALAXY
315,GALAXY
316,GALAXY
317,QSO
318,QSO
319,GALAXY
320,GALAXY
321,GALAXY
322,GALAXY
323,GALAXY
324,GALAXY
325,GALAXY
326,STAR
327,STAR
328,QSO
329,STAR
